Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,10662,10628,16345,19220,21100,8,27048,10.400%,334.20226,624.87,79.83
总体,10000,10662,10628,16345,19220,21100,8,27048,10.400%,334.20226,624.87,79.83
