Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,2134,2161,3113,3218,3436,24,3777,0.000%,1839.92640,631.60,479.75
总体,10000,2134,2161,3113,3218,3436,24,3777,0.000%,1839.92640,631.60,479.75
