Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,280,88,700,1091,2989,0,7005,0.000%,4024.14487,13388.93,530.53
总体,30000,280,88,700,1091,2989,0,7005,0.000%,4024.14487,13388.93,530.53
