Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,12501,14647,21001,21017,21834,4,27055,14.010%,299.01624,587.15,68.55
总体,10000,12501,14647,21001,21017,21834,4,27055,14.010%,299.01624,587.15,68.55
