Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,218,52,488,1010,3023,0,4119,0.000%,5772.56109,19206.17,761.03
总体,30000,218,52,488,1010,3023,0,4119,0.000%,5772.56109,19206.17,761.03
