Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,2233,2275,3275,3952,4118,28,4147,0.000%,1696.06513,582.20,442.24
总体,10000,2233,2275,3275,3952,4118,28,4147,0.000%,1696.06513,582.20,442.24
