Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,2445,2479,3471,3637,3937,27,4439,0.000%,1547.74803,531.28,403.56
总体,10000,2445,2479,3471,3637,3937,27,4439,0.000%,1547.74803,531.28,403.56
