Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,944,903,1335,1719,2187,2,4458,1.323%,2755.83318,9228.16,358.51
总体,30000,944,903,1335,1719,2187,2,4458,1.323%,2755.83318,9228.16,358.51
