Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,2263,2352,3160,3348,3701,18,4198,0.000%,1746.41984,599.47,455.37
总体,10000,2263,2352,3160,3348,3701,18,4198,0.000%,1746.41984,599.47,455.37
