Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,315,126,808,1130,2551,0,5341,0.000%,4743.83302,15783.44,625.41
总体,30000,315,126,808,1130,2551,0,5341,0.000%,4743.83302,15783.44,625.41
