Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,11647,9688,24468,25322,27658,3,27743,39.310%,320.73898,751.66,51.90
总体,10000,11647,9688,24468,25322,27658,3,27743,39.310%,320.73898,751.66,51.90
