Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,838,757,1137,1694,3345,1,8116,0.213%,3021.45231,10147.91,397.49
总体,30000,838,757,1137,1694,3345,1,8116,0.213%,3021.45231,10147.91,397.49
