Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,756,713,1027,1630,3599,2,4906,0.000%,3300.33003,11090.27,435.10
总体,30000,756,713,1027,1630,3599,2,4906,0.000%,3300.33003,11090.27,435.10
