Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,13527,14826,21002,21051,22586,495,30201,13.650%,322.42463,628.26,74.23
总体,10000,13527,14826,21002,21051,22586,495,30201,13.650%,322.42463,628.26,74.23
