Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,212,45,547,1053,3003,0,3892,0.000%,6031.36309,20067.24,795.15
总体,30000,212,45,547,1053,3003,0,3892,0.000%,6031.36309,20067.24,795.15
