Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
秒杀抢购,10000,9843,9699,18441,19368,21002,1,25118,3.920%,368.26987,639.62,94.33
总体,10000,9843,9699,18441,19368,21002,1,25118,3.920%,368.26987,639.62,94.33
