Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
商品列表,30000,194,45,378,1061,3009,0,4391,0.000%,6272.21409,20868.59,826.90
总体,30000,194,45,378,1061,3009,0,4391,0.000%,6272.21409,20868.59,826.90
